OBJECTID_1;FID_new;max;sum;vuosi;Id
;5491;1;1176;2020;0
;5490;1;1042;2010;0
;5490;1;2557;2012;0
;5490;;;2021;0
;5489;1;11542;2011;0
;5489;1;13159;2012;0
;5489;;;2010;0
;5488;1;217;2011;0
;5488;1;475;2012;0
;5487;1;1070;2009;0
;5487;1;1143;2012;0
;5486;1;3359;2013;0
;5486;1;2124;2015;0
;5486;1;2424;2021;0
;5485;1;4430;2013;0
;5485;1;4654;2014;0
;5485;1;4759;2015;0
;5485;1;4811;2021;0
;5484;1;47;2008;0
;5484;1;118;2010;0
;5484;1;573;2015;0
;5484;;;2019;0
;5484;1;394;2020;0
;5484;;;2021;0
;5483;1;523;2009;0
;5483;1;311;2009;0
;5483;1;522;2011;0
;5483;1;280;2011;0
;5483;1;435;2013;0
;5483;1;267;2013;0
;5483;1;476;2019;0
;5483;1;337;2019;0
;5483;1;469;2019;0
;5483;1;325;2019;0
;5483;1;455;2021;0
;5483;1;283;2021;0
;5482;1;3237;2011;0
;5482;1;3308;2017;0
;5482;1;3307;2019;0
;5481;1;1820;2008;0
;5481;1;1857;2012;0
;5481;1;17;2015;0
;5480;1;302;2008;0
;5480;1;378;2010;0
;5480;1;815;2019;0
;5480;1;817;2019;0
;5479;1;19781;2010;0
;5479;1;18226;2011;0
;5479;1;17137;2015;0
;5479;1;16904;2019;0
;5479;1;16678;2019;0
;5478;1;5466;2010;0
;5478;1;4904;2011;0
;5478;1;6794;2015;0
;5478;1;7196;2019;0
;5478;1;7042;2019;0
;5477;1;8632;2010;0
;5477;1;7281;2011;0
;5477;1;7259;2015;0
;5477;1;8324;2019;0
;5477;1;8112;2019;0
;5476;1;1489;2008;0
;5476;1;1753;2015;0
;5475;1;979;2008;0
;5475;1;1804;2015;0
;5474;1;939;2008;0
;5474;1;1670;2015;0
;5473;1;481;2010;0
;5473;1;337;2011;0
;5473;1;481;2015;0
;5473;1;495;2019;0
;5473;1;490;2019;0
;5473;1;8998;2010;0
;5473;1;5086;2011;0
;5473;1;6399;2015;0
;5473;1;6649;2019;0
;5473;1;6537;2019;0
;5472;1;20217;2011;0
;5472;1;23747;2019;0
;5472;1;23321;2019;0
;5472;1;27914;2010;0
;5471;1;1585;2008;0
;5471;1;1490;2015;0
;5471;;;2019;0
;5471;;;2020;0
;5470;1;1733;2011;0
;5470;1;2932;2019;0
;5470;1;2878;2019;0
;5469;1;367;2008;0
;5469;1;719;2015;0
;5469;1;1177;2020;0
;5468;1;857;2010;0
;5468;1;948;2015;0
;5468;1;1019;2016;0
;5467;1;5417;2010;0
;5467;1;9429;2016;0
;5466;1;680;2008;0
;5466;1;770;2015;0
;5465;1;5844;2010;0
;5465;1;7479;2015;0
;5465;1;3051;2016;0
;5464;1;602;2010;0
;5464;1;751;2016;0
;5463;1;28;2008;0
;5463;1;218;2015;0
;5463;;;2020;0
;5462;1;1916;2010;0
;5462;1;1873;2018;0
;5462;;;2015;0
;5461;1;4562;2010;0
;5461;;;2012;0
;5461;1;4729;2013;0
;5461;;;2018;0
;5460;1;1084;2009;0
;5460;1;2356;2018;0
;5460;;;2021;0
;5459;1;403;2009;0
;5459;1;796;2018;0
;5459;;;2021;0
;5458;1;2093;2009;0
