OBJECTID_1;FID_new;max;sum;vuosi
3738261;1693;1;3321;2011
3738261;1693;1;729;2019
3738261;1693;1;699;2019
3738261;1693;;;2021
3736526;1692;1;78;2011
3736526;1692;;;2015
3736526;1692;1;94;2019
3736521;1691;1;9017;2011
3736521;1691;1;7161;2015
3736521;1691;1;5894;2019
3736521;1691;1;5690;2019
3736511;1690;1;5048;2011
3736511;1690;1;5403;2015
3736511;1690;1;5259;2019
3736511;1690;1;5211;2019
3736510;1689;1;5048;2011
3736510;1689;1;5403;2015
3736510;1689;1;5259;2019
3736510;1689;1;5211;2019
3735877;1688;1;1453;2011
3735877;1688;1;1523;2015
3735877;1688;1;720;2019
3735877;1688;1;673;2019
3735876;1687;1;1453;2011
3735876;1687;1;1523;2015
3735876;1687;1;720;2019
3735876;1687;1;673;2019
3735719;1686;1;4080;2011
3735719;1686;;;2015
3735719;1686;1;1469;2019
3735719;1686;1;1397;2019
3735239;1685;1;2043;2011
3735239;1685;;;2015
3735239;1685;1;1645;2019
3735239;1685;1;1604;2019
3735234;1684;1;1444;2011
3735234;1684;;;2015
3735234;1684;1;117;2019
3735149;1683;1;2101;2011
3735149;1683;;;2015
3735149;1683;1;963;2019
3735149;1683;1;937;2019
3734703;1682;1;3522;2008
3734703;1682;1;3573;2010
3734703;1682;1;1143;2015
3734703;1682;1;888;2019
3734703;1682;1;857;2019
3734597;1681;1;3521;2008
3734597;1681;1;3709;2010
3734597;1681;1;271;2015
3734597;1681;1;303;2019
3734597;1681;1;279;2019
3734083;1680;1;3419;2008
3734083;1680;1;3648;2010
3734083;1680;1;3696;2015
3734083;1680;;;2019
3727025;1679;1;4648;2008
3727025;1679;1;2300;2015
3727025;1679;1;2350;2021
3726505;1678;1;3898;2008
3726505;1678;;;2012
3726505;1678;1;570;2015
3726505;1678;1;520;2021
3717970;1677;1;2323;2011
3717970;1677;1;2351;2014
3717970;1677;;;2018
3717970;1677;1;484;2019
3713659;1676;1;542;2011
3713659;1676;1;1662;2018
3713659;1676;1;1896;2019
3690378;1675;1;977;2008
3690378;1675;1;1179;2012
3690378;1675;;;2015
3690378;1675;1;339;2021
3687104;1674;1;2146;2008
3687104;1674;1;578;2015
3687104;1674;1;1883;2021
3677383;1673;1;4;2012
3677383;1673;1;4;2014
3677383;1673;1;4;2017
3677376;1672;1;2805;2012
3677376;1672;1;462;2014
3677376;1672;1;800;2017
3677374;1671;1;1692;2012
3677374;1671;1;119;2014
3677374;1671;1;164;2017
3677340;1670;1;2127;2012
3677340;1670;1;2081;2014
3677340;1670;1;1130;2017
3674606;1669;1;3476;2008
3674606;1669;1;3620;2012
3674606;1669;;;2017
3674606;1669;;;2019
3673580;1668;1;142;2012
3673579;1667;1;508;2012
3673579;1667;1;81;2014
3673578;1666;1;971;2012
3673578;1666;1;621;2014
3673577;1665;1;971;2012
3673577;1665;1;621;2014
3671213;1664;1;1507;2008
3671213;1664;1;1520;2012
3671213;1664;;;2015
3671213;1664;;;2019
3671213;1664;;;2021
3666341;1663;1;16085;2008
3666341;1663;1;16340;2012
3666341;1663;1;537;2014
3666341;1663;;;2015
3666341;1663;1;2618;2021
3666339;1662;;;2008
3666339;1662;;;2012
3666339;1662;;;2014
3666339;1662;;;2015
3666339;1662;;;2021
3658579;1661;1;2322;2011
3658579;1661;1;2407;2013
3658579;1661;1;280;2017
3658579;1661;1;279;2019
3658579;1661;;;2019
3658576;1660;1;7256;2011
3658576;1660;1;8026;2013
3658576;1660;1;986;2017
3658576;1660;1;890;2019
3658576;1660;;;2019
3656872;1659;1;503;2011
3656872;1659;1;489;2013
3656872;1659;1;413;2017
3656872;1659;1;424;2019
3656872;1659;1;398;2019
3656872;1659;1;431;2019
3656579;1658;1;3332;2008
3656579;1658;;;2013
3656579;1658;1;945;2019
3656579;1658;1;933;2019
3656409;1657;1;253;2008
3656409;1657;;;2013
3656409;1657;;;2019
3654244;1656;1;3284;2008
3654244;1656;1;1347;2019
3654244;1656;1;1321;2019
3653851;1655;1;834;2008
3653851;1655;1;698;2019
3653851;1655;1;687;2019
3653595;1654;1;17;2008
3653595;1654;1;16;2012
3653595;1654;;;2017
3653595;1654;1;17;2019
3653451;1653;1;1189;2008
3653451;1653;;;2012
3653451;1653;;;2017
3653451;1653;1;482;2019
3653451;1653;1;505;2019
3653449;1652;1;5044;2008
3653449;1652;;;2012
3653449;1652;;;2017
3653449;1652;1;5019;2019
3653449;1652;1;4972;2019
3652938;1651;1;930;2008
3652938;1651;;;2012
3652938;1651;1;1161;2015
3652938;1651;;;2019
3652938;1651;;;2021
3652135;1650;1;1801;2008
3652135;1650;;;2013
3652135;1650;1;1823;2019
3652135;1650;1;1825;2019
3651908;1649;1;3605;2008
3651908;1649;;;2013
3651908;1649;1;387;2019
3651908;1649;1;364;2019
3651906;1648;1;4604;2008
3651906;1648;;;2013
3651906;1648;1;687;2019
3651906;1648;1;649;2019
3651904;1647;1;4319;2008
3651904;1647;;;2013
3651904;1647;1;73;2019
3651904;1647;1;66;2019
3651096;1646;1;956;2008
3651096;1646;;;2013
3651096;1646;1;785;2019
3651096;1646;1;779;2019
3635802;1645;1;18332;2011
3635802;1645;1;18968;2013
3635802;1645;1;12260;2019
3635802;1645;1;12110;2019
3633925;1644;1;1723;2011
